"reviewer_concern","code_or_output","status_after_running"
"Repeated stochastic BO runs","10 paired seeds; shared 20-point initial designs","addressed"
"Statistical comparison of acquisitions","Friedman and paired Wilcoxon-Holm tables","addressed"
"Independent reference Pareto front","grid-only primary front plus grid+BO union supplementary front","addressed"
"Standard EHVI implementation","Sample mean of nonnegative HV improvement; extra coefficient = 0","addressed"
"Standard EPI implementation","Sample mean of nonnegative preference improvement; extra coefficient = 0","addressed"
"SCAL-UCB kappa sensitivity","kappa = 0.5, 1, 2, 4","addressed"
"EHVI predictive-sample sensitivity","predictive samples = 10, 20, 40","addressed"
"Held-out MNL validation","five grouped splits with the same 180 training designs for every surrogate","addressed"
"MNL versus mixed-kernel GP","custom continuous-categorical product kernel GP","addressed"
"MNL versus random forest","ranger regression baseline","addressed"
"Simulator numerical repeatability","three repeated uncached runs for three fixed designs","addressed"
"External simulator benchmark","optional CSV interface; requires external benchmark data","key limitation acknowledged; optional external data interface retained"
"Cost coefficient metadata","completed 2024-EUR/tCO2 table based on JRC 2024 published ranges","addressed with EUR, 2024 price basis, units, and JRC source"
"Cost sensitivity of Pareto metrics","HV, IGD+, Pareto size, ranking, and front stability under scenarios","addressed as post-hoc robustness analysis"
"Geological uncertainty","manuscript limitation only; no geological ensembles are available","acknowledge as limitation and future ensemble extension"
